Time_hr,HeartRate,RespirationRate,MAP,Phase,SleepQuality,FatigueIndex,RiskFlag
0.027783333333333333,109.27,17.65,75.7,Normal,80,21.0,False
0.05556111111111112,109.24,17.65,75.7,Normal,80,22.0,False
0.08333888888888888,109.2,17.75,75.8,Normal,80,23.0,False
0.11111666666666666,109.16,17.75,75.8,Normal,80,24.0,False
0.13889444444444443,109.06,17.75,75.8,Normal,80,25.0,False
0.16667222222222222,109.03,17.75,75.9,Normal,80,26.0,False
0.19444999999999998,108.91,17.75,75.9,Normal,80,27.0,False
0.22222777777777777,108.84,17.75,75.9,Normal,80,28.0,False
0.25000555555555554,108.73,17.75,76.0,Normal,80,29.0,False
0.2777833333333333,108.61,17.75,76.0,Normal,80,30.0,False
0.3055611111111111,108.53,17.75,76.1,Normal,80,31.0,False
0.3333388888888889,108.35,17.75,76.2,Normal,80,32.0,False
0.36111666666666664,108.24,17.75,76.2,Normal,80,33.0,False
0.38889444444444443,108.32,17.65,76.0,Normal,80,34.0,False
0.4166722222222222,108.06,17.54,76.3,Normal,80,35.0,False
0.44445,108.16,17.54,76.1,Normal,80,36.0,False
0.47222777777777775,107.8,17.54,76.4,Normal,80,37.0,False
0.5000055555555556,108.02,17.54,76.1,Normal,80,38.0,False
0.5277833333333334,107.91,17.44,76.2,Normal,80,39.0,False
0.5555611111111111,107.81,17.54,76.2,Normal,80,40.0,False
0.5833388888888889,107.52,17.65,76.4,Normal,80,41.0,False
0.6111166666666666,107.8,17.65,76.1,Normal,80,42.0,False
0.6388944444444444,107.78,17.44,76.0,Normal,80,43.0,False
0.6666722222222222,107.61,17.54,76.1,Normal,80,44.0,False
0.69445,107.61,17.65,76.1,Normal,80,45.0,False
0.7222277777777778,107.4,17.65,76.3,Normal,80,46.0,False
0.7500055555555556,107.57,17.65,76.0,Normal,80,47.0,False
0.7777833333333334,107.58,17.54,76.0,Normal,80,48.0,False
0.8055611111111111,107.48,17.54,76.0,Normal,80,49.0,False
0.8333388888888889,107.39,17.65,76.1,Normal,80,50.0,False
0.8611166666666666,107.4,17.65,76.1,Normal,80,51.0,False
0.8888944444444444,107.23,17.75,76.2,Normal,80,52.0,False
0.9166722222222222,107.42,17.75,75.9,Normal,80,53.0,False
0.94445,107.39,17.54,75.9,Normal,80,54.0,False
0.9722277777777778,107.31,17.65,76.0,Normal,80,55.0,False
1.0000055555555556,107.27,17.75,76.0,Normal,80,56.0,False
1.0277833333333333,105.82,17.75,77.2,Normal,80,57.0,False
1.0555611111111112,105.87,17.65,77.1,Normal,80,58.0,False
1.0833388888888889,105.78,17.65,77.2,Normal,80,59.0,False
1.1111166666666668,105.67,17.75,77.3,Normal,80,60.0,False
1.1388944444444447,105.74,17.75,77.2,Normal,80,61.0,False
